"myOutlet/deliveryOptions/minimumOrderAmount","Minimum order amount"
"myOutlet/deliveryOptions/freeDeliveryWith","Free delivery with order value above"
"myOutlet/deliveryOptions/discountPlaceholder","Enter discount"
"myOutlet/deliveryOptions/deliveryFeePlaceholder","Enter delivery fee"
"myOutlet/deliveryOptions/minimumOrderAmountPlaceholder","Enter minimum order"
"myOutlet/deliveryOptions/orderValuePlaceholder","Enter order value"
"myOutlet/deliveryOptions/updateError","Your delivery options cannot update information"
"myOutlet/deliveryOptions/onlyNumberError","Only numbers"
"myOutlet/deliveryOptions/discountInputError","Only 2 number after decimal"
"myOutlet/deliveryOptions/atLeastOneOption","Please select at least one option"
"myOutlet/deliveryOptions/discountError","Discount must be entered between 0 and 100"
"myOutlet/deliveryOptions/emptyDeliveryFee","Please input delivery fee"
"myOutlet/deliveryOptions/emptyMinimumOrderAmount","Please input minimum order amount"
"myOutlet/deliveryOptions/emptyFeeDeliveryWith","Please input free delivery with order value above"
"myOutlet/deliveryOptions/emptyDiscount","Please input discount (%)"
"myOutlet/paymentOptions/title","PAYMENT OPTIONS"
"myOutlet/paymentOptions/outletInfoUpdated","Outlet information has been updated. Please go ahead and add your menu."
"myOutlet/paymentOptions/epayRegister","If you do not have an existing account, please "
"myOutlet/paymentOptions/signUpHere","sign up here"
"myOutlet/paymentOptions/placeholder","Please input here"
"myOutlet/paymentOptions/requiredError","Input is required"
"myOutlet/paymentOptions/linkError","Please input a correct link"
"myOutlet/paymentOptions/phoneNumberError","Please input a correct phone number"
"myOutlet/paymentOptions/updateError","Your payment options cannot update information"
"myOutlet/paymentOptions/atLeastOneOption","Please select at least one option"
"myOrders/noOrderFound/title","No order found"
"myOrders/noOrderFound/info","Hmm, looks like your customers haven’t made any order yet."
"myOrders/orderFilter/title","FILTER BY"
"myOrders/orderFilter/orderDateRange","ORDER DATE RANGE"
"myOrders/orderFilter/startDate","Start date"
"myOrders/orderFilter/endDate","End date"
"myOrders/orderFilter/fromTo","FROM - TO"
"myOrders/orderFilter/deliveryOption","DELIVERY OPTION"
"myOrders/orderFilter/pickup","Pickup"
"myOrders/orderFilter/delivery","Delivery"
"myOrders/orderFilter/paymentOption","PAYMENT OPTION"
"myOrders/orderFilter/cash","Cash"
"myOrders/orderFilter/creditCard","Credit Card"
"myOrders/orderFilter/clear","Clear"
"myOrders/orderFilter/apply","Apply"
"myOrders/orderFilter/selectDateError","Please select both start date and end date"
"myOrders/orderSort/title","SORT BY"
"myOrders/orderSort/totalPrice","TOTAL PRICE"
"myOrders/orderSort/highToLow","High to low"
"myOrders/orderSort/lowToHigh","Low To High"
"myOrders/orderSort/orderDate","ORDER DATE"
"myOrders/orderSort/latest","Latest"
"myOrders/orderSort/oldest","Oldest"
"myOrders/all/title","MY ORDERS"
"myOrders/all/filter","Filter"
"myOrders/all/sort","Sort"
"myOrders/all/searchOrder","Search order..."
"myOrders/all/all","All"
"myOrders/all/new","New"
"myOrders/all/inProgress","In progress"
"myOrders/all/ready","Ready"
"myOrders/all/cancelled","Cancelled"
"myOrders/all/completed","Completed"
"myOrders/all/rejected","Rejected"
"myOrders/all/buyerName","Buyer name"
"myOrders/all/buyerPhone","Buyer phone"
"myOrders/all/items","Items"
"myOrders/all/total","Total"
"myOrders/all/deliveryOption","Delivery option"
"myOrders/searchOrder/noOrderFound","NO ORDER FOUND"
"myOrders/calendarPicker/startDateTitle","START DATE"
"myOrders/calendarPicker/endDateTitle","END DATE"
"myOrders/calendarPicker/setStart","Set Start"
"myOrders/calendarPicker/setEnd","Set End"
"myOrders/calendarPicker/cancel","Cancel"
